p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2014,random_probe,6,51,False,11,1.0,0.6650807747576007,0.001123981438759238,3.4912917347736076e-14,,
17,2014,random_probe,7,101,False,11,0.8333333333333334,0.2917349169834587,0.0003105233638486434,3.4701136856610707e-14,,
17,2014,random_probe,8,11,False,11,1.0,1.5782488977401006,0.002620601390673355,3.788535634719196e-14,,
17,2014,random_probe,9,46,False,11,1.0,0.5091750355540028,0.0008106847952534269,3.8780586591541765e-14,,
17,2014,random_probe,10,69,False,11,0.5,-0.07143565260123268,-6.909883816941474e-05,3.5600501813536524e-14,,
17,2015,bank,0,95,True,0,,,,,1.761866625046431,128
17,2015,greedy_probe,0,0,False,11,1.0,1.2626415382368625,0.0017235824404922527,3.5763892972028636e-14,,
17,2015,greedy_probe,1,16,False,11,1.0,1.1591627972509817,0.001557230354619366,3.485279949709577e-14,,
17,2015,greedy_probe,2,32,True,11,1.0,1.4824743880517792,0.0018048529172640358,3.364977725316173e-14,,
17,2015,greedy_probe,3,33,False,11,1.0,1.4299801688055336,0.0017357242938933481,3.388282628971974e-14,,
17,2015,greedy_probe,4,96,False,11,1.0,1.447496419574703,0.0017491210720288499,3.550279113211421e-14,,
17,2015,greedy_probe,5,36,False,11,1.0,1.006420237703774,0.0012373101061404722,3.8211820383416606e-14,,
17,2015,greedy_probe,6,40,False,11,1.0,1.3703002880087976,0.0018587615153884476,3.5304581374349254e-14,,
17,2015,greedy_probe,7,34,False,11,1.0,1.247592365637002,0.0015194106351137614,3.383068948966465e-14,,
17,2015,greedy_probe,8,48,False,11,1.0,1.3715598893685146,0.0016371183525493785,3.441526018629778e-14,,
17,2015,greedy_probe,9,102,False,11,1.0,0.9887774565872368,0.0010989771540659856,3.4984186455002087e-14,,
17,2015,greedy_probe,10,70,False,11,1.0,1.2730911580879287,0.0015501642694546829,3.411190806402093e-14,,
17,2015,random_full,0,0,True,60,1.0,1.2730138139851597,0.001739027208635495,3.405770639193636e-14,,
