phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,leader_group_replaced,5,6,4,7,4.725919613979279e-09,-4.874771145912948e-07,2.5302352627812945e-10,1.2377409935908481e-10,-3.93844202555706e-05
discovery,p17_s20_diag,17,20,diag,point,14,11,1e-08,leader_group_replaced,1,2,13,1,1.1160441133445387e-05,-9.932019127967262e-08,3.104172036873261e-10,3.0982271153190427e-10,-3.205710478376116e-06
discovery,p17_s20_diag,17,20,diag,point,14,11,1e-08,leader_group_replaced,6,7,1,7,1.0816021270704246e-06,-1.9253936191232501e-07,1.237693235154093e-10,1.875296636206013e-11,-0.00010267141645487034
discovery,p17_s20_diag,17,20,diag,point,15,13,1e-08,leader_group_replaced,2,3,7,15,1.925122213572439e-06,-1.0400555602169126e-06,3.098225797683366e-10,3.0749781349505785e-10,-3.382318555034631e-05
discovery,p17_s20_diag,17,20,diag,point,15,13,1e-08,leader_group_replaced,6,7,15,7,1.9248447451214457e-07,-4.939735522985211e-07,1.2377199959502674e-10,1.875669032549992e-11,-0.0002633585903089517
discovery,p17_s20_diag,17,20,diag,point,16,15,1e-08,leader_group_replaced,1,2,13,14,7.037134162488079e-06,-1.5290913523841043e-06,3.1041795556870724e-10,3.0982288207164177e-10,-4.935372565640667e-05
discovery,p17_s20_diag,17,20,diag,point,16,15,1e-08,leader_group_replaced,2,3,14,3,1.5290913523841043e-06,-5.7245075942014e-07,3.0982288207164177e-10,3.0749797853607707e-10,-1.8616407240965894e-05
discovery,p17_s20_diag,17,20,diag,point,16,15,1e-08,leader_group_replaced,5,6,3,7,5.178603765532142e-07,-2.015480003517145e-06,2.5302154675635795e-10,1.237676213116547e-10,-0.00016284388292815602
discovery,p17_s20_residual,17,20,residual,profile,-1,0,1e-08,leader_group_replaced,3,4,13,6,8.198349261093196e-06,-1.143043818541134e-06,3.075715885995552e-10,2.974300921849611e-10,-3.8430671561985597e-05
discovery,p17_s20_residual,17,20,residual,profile,-1,0,1e-08,leader_group_replaced,4,5,6,16,1.052225589992517e-06,-9.286075331169097e-06,2.974300921849611e-10,2.532687757178773e-10,-0.0003666490393396578
discovery,p17_s20_residual,17,20,residual,profile,-1,0,1e-08,leader_group_replaced,8,9,16,15,1.0807371967347379e-06,-2.61032726558974e-07,1.6695099790277536e-12,1.66547098456817e-13,-0.015673207697860653
discovery,p17_s20_residual,17,20,residual,point,0,0,1e-08,wrong_to_correct,9,10,0,0,-2.973443402341791e-05,2.0690461866895715e-05,3.137529359532528e-13,3.458857127495387e-13,0.5981878147675329
discovery,p17_s20_residual,17,20,residual,point,0,0,1e-08,leader_group_replaced,0,1,3,10,1.3744351296113289e-06,-3.2709825903282086e-06,3.1008531317095997e-10,3.1038185620667103e-10,-0.00010538575386797709
discovery,p17_s20_residual,17,20,residual,point,0,0,1e-08,leader_group_replaced,2,3,10,7,2.607109290383991e-06,-8.571487884745377e-08,3.0980191065894886e-10,3.074897002320055e-10,-2.78756910500679e-06
discovery,p17_s20_residual,17,20,residual,point,0,0,1e-08,leader_group_replaced,3,4,7,6,8.571487884745377e-08,-5.343821263048554e-06,3.074897002320055e-10,2.973168673702527e-10,-0.00017973488387370304
